,Parent Object,"Object (Heating System, Envelop, Water, etc)",Type,Subtype,Details Category,Data Field,Field Type,"Object Type (Picker,Field Etc)",Dependancy,Formula,Field Unit,Input Requirement,Field Source,Validation Rules,Flag Condition,Multiple choices possible?,Multiple iterations possible?,Elevate Multifamily,NEI Walk Through (NEI Existing Bldg),Michigan,Green Coast,Elevate 2-4,Elevate Non-Profit,Water Only,NEI Existing Conditions (NEI New Con),AHRAE Level 2,Input for Measure Calculation,Reference for Measure Calculation,"If Reference for Measure Calculation, How?"
,Audit,Building,,,Utility data,Gas Total Usage EUI,Decimal,,,,kbtu/HDD/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Baseload Therms,Decimal,,,,therms/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Baseload EUI,Decimal,,,,kbtu/CDD/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Cooling Load Therms,Decimal,,,,therms/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Cooling Load EUI,Decimal,,,,kbtu/CDD/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Total Usage Therms,Decimal,,,,therms/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Total Usage EUI,Decimal,,,,kbtu/CDD/year,Required,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Baseload,Decimal,,,,kWh/year,Optional,WegoWise,,,,x,x,,,,x,x,,,,,,
,Audit,Building,,,Utility data,Electricity Total Usage,Decimal,,,,kWh/year,Optional,WegoWise,,,,x,x,x,,,x,x,,,x,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Meter number,String,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Status,String,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Coverage,String,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Number of Buildings,Integer,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Tenant Pays?,Switch,,,,,Required,EUI,,,,x,x,xxxx,,,x,x,xxxx,xxxx,xxxx,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Notes ,Text,,,,"kwh,therm,gal",Required,EUI,,,,x,x,xxxx,,,x,x,x,xxxx,xxxx,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Current Reading,Decimal,,,,,Required,EUI,,,,x,x,xxxx,,,x,x,x,xxxx,xxxx,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Location,String,,,,,Required,EUI,,,,x,x,xxxx,,,x,x,x,xxxx,xxxx,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Main or submeter?,String,,,,,Required,EUI,"Main, submeter",,,x,x,,,,x,x,,,,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Utility Company,String,,,,,,Auditor if not WegoWise,,,,,,,,,,,,,,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Utility Login Username,String,,,,,,Auditor if not WegoWise,,,,,,,,,,,,,,,,
,"Building, Audit",Meter,"Gas, Electric, Oil, Water",,,Utility Login Password,String,,,,,,Auditor if not WegoWise,,,,,,,,,,,,,,,,
,"Building, Audit",Heating System,,Heating,Equipment,Type,Text,Picker,,,,Required,,"Hydronic, Steam, Forced Air, Heat Pump, Electric Resistance, Cogeneration",,,x,x,,,,x,x,,,,x,,
,"Building, Audit",Heating System,"Forced Air, Hydronic, Steam, Cogeneration",Fuel,Equipment,Subtype,Text,,,,,Required,,"Gas, Electric, Oil, Other",,,x,x,x,,,x,x,,,x,x,,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air, Heat Pump, Electric Resistance, Cogeneration",,Equipment,Location,String,,,,,Required,,"Basement, Mechanical Room, Rooftop, Penthouse",,,,,,,,,,,,,,,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air, Heat Pump, Electric Resistance, Cogeneration","Gas, Electric, Oil, Other",Equipment,Brand,String,,,,,Required,,,,,x,x,x,,,x,x,x,,,,x,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air, Heat Pump, Electric Resistance, Cogeneration","Gas, Electric, Oil, Other",Equipment,Model,String,,,,,Required,,,,,x,x,x,,,x,x,x,x,x,,x,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air, Heat Pump, Electric Resistance, Cogeneration","Gas, Electric, Oil, Other",Equipment,Year Manufactured,Integer,,,,,Required,,,,,x,x,x,,,x,x,x,x,x,,x,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air, Heat Pump, Electric Resistance, Cogeneration","Gas, Electric, Oil, Other",Equipment,Serial Number,String,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Heating System,"Forced Air, Electric Resistance, Heat Pump",Electric,Equipment,Input,Decimal,,,,kwh,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air","Gas, Oil",Equipment,Input,Decimal,,,,BTU/hr,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air","Gas, Oil",Equipment,Output,Decimal,,,,BTU/hr,Optional,,,,,x,x,x,,,x,x,xx,x,x,,x,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air","Gas, Oil",Equipment,AFUE,Decimal,,,,percentage,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Heating System,Forced Air,"Gas, Oil",Equipment,Maximum External Static Pressure,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Heating System,Forced Air,"Gas, Oil",Equipment,Rated Temperature Rise,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Heating System,Forced Air,"Gas, Oil",Equipment,Rated Temperature Drop,Decimal,,,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Heating System,Forced Air,"Gas, Oil",Equipment,Condition,String,,,,,Required,,"Good, Fair, Poor, Replace",,,x,x,x,,,x,x,,x,x,,x,
,"Building, Audit",Heating System,"Hydronic, Steam, Forced Air",Gas,,Burner Type,Picker,,,,,,,"Atmospheric, Forced Draft (power), Sealed Combustion",,,,,,,,,,,,,,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Modulating Burner,String,,,,,Optional,,"Yes, No",,,x,x,x,,,x,x,,x,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air",Gas,Equipment,Burner Condition,String,,For gas heaters/furnaces with atomospheric burners only,,,Optional,,"Clean, Dirty, Rusty",,,x,x,x,,,x,x,,x,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air",Gas,Equipment,Flame Rollout,String,,For gas heaters/furnaces with atomospheric burners only,,,Optional,,"Yes, No, N/A",,,x,x,?,,,x,x,,x,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Flame Color,String,,For gas heaters/furnaces with power burners only,,,Optional,,,,,x,x,?,,,x,x,,,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Make-up Air Sufficient?,String,,For non-sealed combustion (atmospheric or forced draft) gas heaters/furnaces only,,,Optional,,"Yes, No, N/A",,,x,x,x,,,x,x,,x,x,,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Louver Style,String,,For non-sealed combustion (atmospheric or forced draft) gas heaters/furnaces only,,,Optional,,"Manual, Auto, None",,,x,x,x,,,x,x,,x,x,,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Louver Notes,Text,,For non-sealed combustion (atmospheric or forced draft) gas heaters/furnaces only,,,Optional,,,,,x,x,x,,,x,x,,x,x,,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Exhaust Type,String,,,,,Optional,,"Natural Draft, Fan Assisted",,,x,x,x,,,x,x,,x,x,,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Draft Damper Condition,String,,,,,Optional,,"Present-Working, Present-Not Working, Missing, N/A",,,x,x,xx,,,x,x,,xx,xx,,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Measured Efficiency,Decimal,,For testable gas heaters/furnaces only,,percentage,Optional,,,,,x,x,,,,x,x,,,x,x,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Last Recorded Efficiency,Decimal,,For testable gas heaters/furnaces only,,,,,,,,,,,,,,,,,,,,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Measured CO2,Decimal,,For testable gas heaters/furnaces only,,percentage,Optional,,,,,x,x,,,,x,x,,,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Measured Flue Temperature,Decimal,,For testable gas heaters/furnaces only,,°F,Optional,,,,,x,x,,,,x,x,,,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Measured CO,Decimal,,For testable gas heaters/furnaces only,,ppm,Optional,,,,,x,x,,,,x,x,,,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,Measured O2,Decimal,,For testable gas heaters/furnaces only,,percentage,Optional,,,,,x,x,,,,x,x,,,x,,x,
,"Building, Audit",Heating System,"Steam, Hydronic, Forced Air","Gas, Oil",Equipment,"If no combustion test, reason:",String,,,,,Required,,,,,x,x,,,,x,x,,,x,,,
,Heating System,Controls,,,Controls,Type,Text,Multi-picklist,,,,Required,,"Outdoor Cutoff, Indoor Temperature Sensor, Outdoor Reset Control, Thermostatic Valves, Aquastat, Timer, Thermostats, None",,x,x,x,x,,,x,x,,x,x,,x,
,Domestic Hot Water System,Controls,,,Controls,Type,Text,Multi-picklist,,,,,,"Aquastat, DHW Override, None",,,,,,,,,,,,,,,
,"Heating System, Domestic Hot Water System",Controls,"Outdoor Cutoff, Indoor Temp Sensor, Outdoor Reset Control, Thermostatic Valves, Aquastat, Timer, Thermostats, DHW Override, None",,Controls,Brand,String,,,,,Optional,,,,,x,x,x,,,x,x,,x,x,,x,
,"Heating System, Domestic Hot Water System",Controls,"Outdoor Cutoff, Indoor Temp Sensor, Outdoor Reset Control, Thermostatic Valves, Aquastat, Timer, Thermostats, DHW Override, None",,Controls,Model Number,String,,,,,Optional,,,,,x,x,x,,,x,x,,x,x,,x,
,"Heating System, Domestic Hot Water System",Controls,"Outdoor Cutoff, Indoor Temp Sensor, Outdoor Reset Control, Thermostatic Valves, Aquastat, Timer, Thermostats, DHW Override, None",,Controls,Controls being operated correctly?,String,,,,,Optional,,"Yes, No",,,x,x,x,,,x,x,,x,x,,,
,"Heating System, Domestic Hot Water System",Controls,"Outdoor Cutoff, Indoor Temp Sensor, Outdoor Reset Control, Thermostatic Valves, Aquastat, Timer, Thermostats, DHW Override, None",,Controls,Operation Notes,String,,,,,Optional,,,,,x,x,x,,,x,x,,x,x,,,
,"Heating System, Domestic Hot Water System",Controls,Aquastat,,Controls,Aquastat Setting,Decimal,,For systems using an aquastat,,°F,Optional,,,,,x,x,x,,,x,x,,x,x,x,,
,Heating System,Controls,Thermostats,,Controls,Programmable,String,,For systems using thermostats,,,Optional,,,,,x,x,,,,x,x,,,,x,,
,Heating System,Controls,Indoor Temp Sensor,,Controls,Number of sensors,Integer,,For systems using sensors,,sensors,Optional,,,,,x,x,,,,x,x,,,,,x,
,Heating System,Controls,Indoor Temp Sensor,,Controls,Number of wireless sensors,Integer,,For systems using sensors,,sensors,Optional,,,,,x,x,,,,x,x,,,,,x,
,Heating System,Controls,Indoor Temp Sensor,,Controls,Number of working sensors ,Integer,,For systems using sensors,,sensors,Optional,,,,,x,x,,,,x,x,,,,,x,
,Heating System,Controls,Indoor Temp Sensor,,Controls,Location of sensors,String,,For systems using sensors,,,Optional,,,,,x,x,,,,x,x,,,,,x,
,Heating System,Controls,Indoor Temp Sensor,,Controls,Sensor temp readings,String,,For systems using sensors,,,Optional,,,,,x,x,,,,x,x,,,,,x,
,Heating System,Controls,"Indoor Temp Sensor, Thermostats",,Controls,Daytime Setpoint,Decimal,,For systems using sensors,,°F,Optional,,,,,x,x,,,,x,x,,,,x,,
,Heating System,Controls,"Indoor Temp Sensor, Thermostats",,Controls,Nighttime Setpoint,Decimal,,For systems using sensors,,°F,Optional,,,,,x,x,,,,x,x,,,,x,,
,Heating System,Controls,Timer,,Controls,"Timer hours, if applicable",String,,For systems using timers,,°F,Optional,,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,Distribution Type,Text,Picker,,,,Required,,"1 pipe steam, 2 pipe steam, forced air, baseboard, radiant coils, other",,,x,x,xx,,,x,x,,xx,xx,,x,
,Heating System,Distribution System,,,Distribution,Steam Pressure,Decimal,,For steam systems only,,psi,Optional,,,,,x,x,x,,,x,x,,x,x,x,,
,Heating System,Distribution System,,,Distribution,Dimension A > 2 ft?,String,,For steam systems only,,,Optional,,"Yes, No",,,x,x,,,,x,x,,,,,,
,Heating System,Distribution System,,,Distribution,Hartford Loop?,String,,For steam systems only,,,Optional,,"Yes, No",,,x,x,,,,x,x,,,,,,
,Heating System,Distribution System,,,Distribution,Return Type,String,,For steam systems only,,,Optional,,"Wet, Dry",,,x,x,,,,x,x,,,,,,
,Heating System,Distribution System,,,Distribution,Vacuum pump working?,String,,For steam systems only,,,Optional,,"Yes, No",,,x,x,,,,x,x,,,,,,
,Heating System,Distribution System,,,Distribution,How often is Low Water Cutoff tested?,String,,For steam systems only,,,Optional,,,,,x,x,,,,x,x,,,,,,
,Heating System,Distribution System,,Gas,Distribution,Meter Timing Results,String,,For gas-fueled systems only,,,Optional,,,,,x,x,,,,x,x,,,,,,
,Heating System,Distribution System,,,Distribution,Is there submeter on the water line to the boiler?,Switch,,For steam and hydronic systems only,,,,,"Yes, No",,,,,,,,,,,,,,,
,Heating System,Distribution System,,,Distribution,Water gauge condition,String,,For steam systems only,,,Optional,,,,,x,x,,,,x,x,,,,,,
,Heating System,Distribution System,,,Distribution,"Steam loop notes (number, section, brand/model, condition, location), if applicable",Text,,For steam systems only,,,Optional,,,,,x,x,x,,,x,x,,,,,x,
,Heating System,Distribution System,,,Distribution,Pipe Material,String,,For steam and hydronic systems only,,,Optional,,"Malleable steel (black pipe), copper, cast iron",,x,x,x,x,,,x,x,x,x,x,x,,
,Heating System,Distribution System,,,Distribution,Average Pipe Diameter,Decimal,,For steam and hydronic systems only,,inches,Optional,,,,,x,x,x,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,Length of Uninsulated Heating Pipe in Unconditioned Space,Decimal,,For steam and hydronic systems only,,linear feet,Optional,,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,Length of Insulated Heating Pipe in Unconditioned Space,Decimal,,For steam and hydronic systems only,,linear feet,Optional,,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,R-value of heating pipe insulation,Decimal,,For steam and hydronic systems only,,hr ft2 °F Btu-1,Optional,,,,,x,x,x,,,x,x,,x,x,x,,
,Heating System,Distribution System,,,Distribution,Duct length,Decimal,,For forced-air systems only,,feet,Required,Auditor,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,Perimeter of air duct cross section,Decimal,,For forced-air systems only,,inches,Default,Auditor,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,"Temperature inside duct, existing",Decimal,,For forced-air systems only,100,°F,Default,Auditor,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,"Temperature outside duct, existing",Decimal,,For forced-air systems only,50,°F,Default,Auditor,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,Thickness of duct material,Decimal,,For forced-air systems only,0.25,in,Default,Auditor,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,Conductivity of duct material ,Decimal,,For forced-air systems only,1,(BTU * in) / (hr * ft2 * °F),Default,Auditor,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,U-factor of duct material,Decimal,,For forced-air systems only,4,BTU / (hr * ft2 * °F),Default,Auditor,,,,x,x,,,,x,x,,,,x,,
,Heating System,Distribution System,,,Distribution,R-value of Existing Duct Insulation,Decimal,,For forced-air systems only,0,(hr * ft2 * °F) / BTU,Default,Auditor,,,,x,x,x,,,x,x,,x,x,x,,
,Heating System,Distribution System,,,Distribution,"Hours per day air circulating, existing",Decimal,,For forced-air systems only,3,hours / day,Default,Auditor,,,,x,x,,,,x,x,,,,x,,
,"Building, Audit",Domestic Hot Water System,,,,Type,,Picker,,,,,,"Direct Fired, Indirect - Boiler, Indirect - Tank, Heat Exchanger, Instantaneous (On Demand)",,,,,,,,,,,,,,,
,"Building, Audit",Domestic Hot Water System,,Fuel,Equipment,Subtype,Text,,,,,Required,,"Gas, Electric, Oil, Other",,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired, Heat Exchanger",,Equipment,Heater Type,String,,,,,Required,,"Central, Individual",,x,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,Direct Fired,,Equipment,Number of combined heaters,Integer,,,,combined DHW heaters,Required,,,,,x,x,,,,x,x,x,,,x,,
,"Building, Audit",Domestic Hot Water System,Boiler/Tank - Indirect Fired,,Equipment,Number of heaters (no tank),Integer,,,,DHW heaters,Required,,,,,x,x,,,,x,x,x,,,x,,
,"Building, Audit",Domestic Hot Water System,Boiler/Tank - Indirect Fired,,Equipment,Number of tanks (no heater),Integer,,,,DHW tanks,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Heater Brand,String,,,,,Optional,,,,,x,x,xx,,,x,x,xx,xx,xx,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Heater Model,String,,,,,Optional,,,,,x,x,x,,,x,x,x,x,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Heater Year Manufactured,Integer,,,,,Optional,,,,,x,x,x,,,x,x,x,x,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Recovery Rate,Decimal,,,,GPM,,Could be calculated,,,,,,,,,,,,,,,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Solar pre-heated?,Switch,,,,,,,"Yes, No",,,,,,,,,,,,,,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Input,Decimal,,,,BTU/hr,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Output,Decimal,,,,BTU/hr,Optional,,,,,x,x,x,,,x,x,x,x,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Thermal Efficiency,Decimal,,,,percentage,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Energy Factor,Decimal,,,,percentage,Optional,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Flue Damper,String,,,,,Optional,,"Auto-Working, Auto-Not Working, None, Other",,,x,x,x,,,x,x,x,x,x,,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Tank Capacity,Decimal,,,,gallons,Required,,,,,x,x,x,,,x,x,x,x,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Temperature Setting,Decimal,,,,°F,Optional,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Tank Insulation,String,,,,,Required,,"Yes, No",,,x,x,x,,,x,x,x,x,x,,x,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Tank Efficiency,Decimal,,,,percentage,Optional,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Pipe Material,String,,,,,Required,,"Copper, Galvanized Steel",,x,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Length of Insulated Pipe in Unconditioned Space,Decimal,,,,linear feet,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
,"Building, Audit",Domestic Hot Water System,"Direct Fired, Boiler/Tank - Indirect Fired",,Equipment,Length of Uninsulated Pipe in Unconditioned Space,Decimal,,,,linear feet,Required,,,,,x,x,x,,,x,x,x,x,x,x,,
